year,month,usertype,gender,Ride Count
2016,7,Customer,Female,1080
2016,7,Subscriber,Unknown,7386
2016,7,Subscriber,Male,874835
2016,7,Subscriber,Female,295998
2016,8,Customer,Unknown,207080
2016,8,Customer,Male,6764
2016,8,Customer,Female,4396
2016,8,Subscriber,Unknown,11453
2016,8,Subscriber,Male,992777
2016,8,Subscriber,Female,335193
2016,9,Customer,Unknown,201897
2016,9,Customer,Male,11671
2016,9,Customer,Female,7649
2016,9,Subscriber,Unknown,18224
2016,9,Subscriber,Male,1045384
2016,9,Subscriber,Female,364031
2016,10,Customer,Unknown,153039
2016,10,Customer,Male,191
2016,10,Customer,Female,112
2016,10,Subscriber,Unknown,18710
2016,10,Subscriber,Male,1033459
2016,10,Subscriber,Female,350412
2016,11,Customer,Unknown,85377
2016,11,Customer,Male,329
2016,11,Customer,Female,234
2016,11,Subscriber,Unknown,14803
2016,11,Subscriber,Male,819580
2016,11,Subscriber,Female,264085
2016,12,Customer,Unknown,32283
2016,12,Customer,Male,194
2016,12,Customer,Female,49
2016,12,Subscriber,Unknown,10073
2016,12,Subscriber,Male,592668
2016,12,Subscriber,Female,171537
2017,1,Customer,Unknown,22763
2017,1,Customer,Male,207
2017,1,Customer,Female,48
2017,1,Subscriber,Unknown,9017
2017,1,Subscriber,Male,539478
2017,1,Subscriber,Female,151970
2017,2,Customer,Unknown,42518
2017,2,Customer,Male,233
2017,2,Customer,Female,165
2017,2,Subscriber,Unknown,9395
2017,2,Subscriber,Male,562602
2017,2,Subscriber,Female,169154
2017,3,Customer,Unknown,26576
2017,3,Customer,Male,118
2017,3,Customer,Female,83
2017,3,Subscriber,Unknown,8719
2017,3,Subscriber,Male,535217
2017,3,Subscriber,Female,151816
2017,4,Customer,Unknown,158204
2017,4,Customer,Male,17682
2017,4,Customer,Female,12974
2017,4,Subscriber,Unknown,14619
2017,4,Subscriber,Male,837170
2017,4,Subscriber,Female,274755
2017,5,Customer,Unknown,159804
2017,5,Customer,Male,18696
2017,5,Customer,Female,11260
2017,5,Subscriber,Unknown,17776
2017,5,Subscriber,Male,987584
2017,5,Subscriber,Female,328148
2017,6,Customer,Unknown,177624
2017,6,Customer,Male,23525
2017,6,Customer,Female,13493
2017,6,Subscriber,Unknown,20787
2017,6,Subscriber,Male,1108405
2017,6,Subscriber,Female,387760
2017,7,Customer,Unknown,214133
2017,7,Customer,Male,30085
2017,7,Customer,Female,17494
2017,7,Subscriber,Unknown,21061
2017,7,Subscriber,Male,1069299
2017,7,Subscriber,Female,383527
2017,8,Customer,Unknown,206823
2017,8,Customer,Male,32251
2017,8,Customer,Female,18985
